id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,extraction_source,llm_extraction_empty,retrieval_no_results,used_inventory_context_fallback,semantic_top_k,semantic_min_score,raw_target_aisles,grounded_target_aisles,grounding_drop_count,hallucination_source,latency_s
6,llm_only,direct,Where is Chicken Breast (1lb)?,chicken_breast,,move,[8],The Chicken Breast (1lb) is located in Aisle 8. You can find it there.,True,1,True,1,False,0,[],none,False,True,True,,,[8],[8],0,,0.854
7,presearch,direct,Do you carry Dish Soap?,dish_soap,dish soap,move,[9],"Yes, we carry Dish Soap. It's in Aisle 9.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,[9],[9],0,,1.381
7,semantic,direct,Do you carry Dish Soap?,dish_soap,dish soap,move,[9],"Yes, we carry Dish Soap in Aisle 9.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[9],[9],0,,1.962
7,llm_only,direct,Do you carry Dish Soap?,dish_soap,,move,[9],"Yes, we have Dish Soap in stock. It's located in the household aisle, specifically in Aisle 9.",True,1,True,1,False,0,[],none,False,True,True,,,[9],[9],0,,1.324
8,presearch,direct,I want Sparkling Water.,sparkling_water,sparkling water,move,[4],"Sure, we have Sparkling Water in Aisle 4.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,[4],[4],0,,1.423
8,semantic,direct,I want Sparkling Water.,sparkling_water,sparkling water,move,[4],I found Sparkling Water for you in Aisle 4.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[4],[4],0,,2.363
8,llm_only,direct,I want Sparkling Water.,sparkling_water,,move,[4],"Sure, I can help you find Sparkling Water. It's located in Aisle 4. Would you like me to assist you with anything else?",True,1,True,1,False,0,[],none,False,True,True,,,[4],[4],0,,1.147
9,presearch,direct,Could you find Toothpaste for me?,toothpaste,toothpaste,move,[10],We have Toothpaste in Aisle 10.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[10],[10],0,,1.55
9,semantic,direct,Could you find Toothpaste for me?,toothpaste,toothpaste,move,[10],"Sure, I found Toothpaste in Aisle 10.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[10],[10],0,,1.805
9,llm_only,direct,Could you find Toothpaste for me?,toothpaste,,move,[10],"Certainly! Toothpaste is located in the health and beauty aisle, specifically in Aisle 10.",True,1,True,1,False,0,[],none,False,True,True,,,[10],[10],0,,0.881
10,presearch,direct,I'm looking for Trail Mix.,trail_mix,trail mix,move,[5],We do carry Trail Mix! It's located in Aisle 5.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[5],[5],0,,1.488
10,semantic,direct,I'm looking for Trail Mix.,trail_mix,Trail Mix,none,[],"I couldn't find any trail mix in our store today. Would you like me to help you with any of the items we do carry, such ",True,1,False,0,False,0,[],llm_extract,False,False,False,5,0.15,[],[],0,,2.015
10,llm_only,direct,I'm looking for Trail Mix.,trail_mix,,move,[5],The Trail Mix is located in Aisle 5 under the snacks category.,True,1,True,1,False,0,[],none,False,True,True,,,[5],[5],0,,0.851
11,presearch,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,flour; baking soda; butter; brown sugar; white sugar; eggs; vanilla extract; chocolate chips; salt,move,"[1, 6]","I can help you find ingredients for chocolate chip cookies. We carry flour (Aisle 6), butter (Aisle 1), eggs (Aisle 1), ",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[1, 6]","[1, 6]",0,,2.091
11,semantic,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,flour; butter; sugar; brown sugar; eggs; vanilla extract; chocolate chips; salt; baking soda,move,"[1, 6]",You'll need unsalted butter and all-purpose flour for chocolate chip cookies. These are in Aisle 1 and Aisle 6.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[1, 6]","[1, 6]",0,,6.906
11,llm_only,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,,move,[6],"To bake chocolate chip cookies, you'll need flour, sugar, butter, chocolate chips, baking soda, baking powder, salt, and",True,1,True,1,False,0,[],none,False,True,True,,,[6],[6],0,,1.085
12,presearch,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,flour; eggs; tomato sauce; pasta; ground beef,move,"[6, 1, 8]","For spaghetti night, you'll need flour, eggs, tomato sauce, and pasta. They're in Aisles 6, 1, and 8.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,"[6, 1, 8]","[6, 1, 8]",0,,1.782
12,semantic,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,pasta; tomato sauce; ground beef; onion; garlic; olive oil; salt; pepper,move,[6],"For spaghetti night, you'll need Spaghetti Pasta, Tomato Sauce, and Olive Oil, all in Aisle 6. We also have Ground Beef ",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[6],[6],0,,4.291
12,llm_only,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,,move,"[6, 8]","For spaghetti night, you'll need pasta, sauce, and maybe some meat. Pasta is in Aisle 6, sauces are in Aisle 6, and meat",True,1,True,1,False,0,[],none,False,True,True,,,"[6, 8]","[6, 8]",0,,1.339
13,presearch,recipe,Help me build ingredients for a chicken salad.,chicken_breast; lettuce; tomato; olive_oil,chicken; lettuce; tomato; cucumber; mayonnaise; mustard; salt; pepper,move,"[3, 8]",We carry Chicken Breast (Aisle 8) and Bell Pepper (Aisle 3) for your salad. Lettuce (Aisle 3) and Tomato (Aisle 3) are a,True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[3, 8]","[3, 8]",0,,1.929
13,semantic,recipe,Help me build ingredients for a chicken salad.,chicken_breast; lettuce; tomato; olive_oil,chicken; lettuce; tomato; cucumber; mayonnaise,move,"[3, 6, 8]","You can find Chicken Breast in Aisle 8, and Tomato, Lettuce, Broccoli in Aisle 3. Tomato Sauce is in Aisle 6. These shou",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[3, 6, 8]","[3, 6, 8]",0,,3.737
13,llm_only,recipe,Help me build ingredients for a chicken salad.,chicken_breast; lettuce; tomato; olive_oil,,move,"[3, 8]","For a chicken salad, you'll need chicken breast, lettuce, mayonnaise (like Miracle Whip if available), celery, and grape",True,1,True,1,False,0,[],none,False,True,True,,,"[3, 8]","[3, 8]",0,,1.179
14,presearch,recipe,I need supplies for breakfast pancakes.,flour_all_purpose; milk_1l; eggs_large; butter_unsalted,flour; eggs; milk; butter,move,"[1, 6]","I have flour for the pancakes, and you can find eggs and milk in Aisle 1.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,"[1, 6]","[1, 6]",0,,1.587
14,semantic,recipe,I need supplies for breakfast pancakes.,flour_all_purpose; milk_1l; eggs_large; butter_unsalted,flour; eggs; milk; butter; sugar,move,"[1, 6]","For breakfast pancakes, you'll need Unsalted Butter (Aisle 1), Milk (2L) (Aisle 1), Milk (1L) (Aisle 1), All-Purpose Flo",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[1, 6]","[1, 6]",0,,3.167
14,llm_only,recipe,I need supplies for breakfast pancakes.,flour_all_purpose; milk_1l; eggs_large; butter_unsalted,,move,"[6, 1]","For breakfast pancakes, you'll need flour, eggs, milk, and possibly some fruit like blueberries. I can help you find the",True,1,True,1,False,0,[],none,False,True,True,,,"[6, 1]","[6, 1]",0,,0.953
15,presearch,recipe,What should I buy for a veggie stir-fry?,broccoli; carrot; bell_pepper; onion_yellow,vegetables; oil; soy sauce; garlic; ginger; rice,move,"[6, 9]","For a veggie stir-fry, you'll need White Rice (Aisle 6, $5.50, 15 in stock), Olive Oil (Aisle 6, $8.90, 10 in stock), an",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[6, 9]","[6, 9]",0,,2.112
15,semantic,recipe,What should I buy for a veggie stir-fry?,broccoli; carrot; bell_pepper; onion_yellow,broccoli; carrot; bell pepper; onion; soy sauce; rice; sesame oil; ginger; garlic,move,[3],"For a veggie stir-fry, I recommend Broccoli, Carrot, Yellow Onion, Baby Spinach, and Russet Potato (5lb) from Aisle 3.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[3],[3],0,,3.536
15,llm_only,recipe,What should I buy for a veggie stir-fry?,broccoli; carrot; bell_pepper; onion_yellow,,none,[],"For a veggie stir-fry, you'll need some vegetables, a protein source, and possibly some pantry staples like soy sauce or",True,1,False,0,False,0,[],none,False,True,True,,,[],[],0,,1.226
16,presearch,recipe,I want to make smoothies this week.,banana; strawberry; blueberry; yogurt,banana; strawberry; blueberry; mango; pineapple; peach; orange juice; yogurt; honey; ice,move,"[1, 2, 3, 4, 6, 7]","We have bananas, strawberries, blueberries, orange juice, yogurt, and vanilla ice cream that could work for smoothies. L",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[1, 2, 3, 4, 6, 7]","[1, 2, 3, 4, 6, 7]",0,,1.931
16,semantic,recipe,I want to make smoothies this week.,banana; strawberry; blueberry; yogurt,fruit; yogurt; honey; spinach,move,[3],"You can make smoothies with Baby Spinach, Grapes (1lb), Strawberries (1lb), Lemon, and Orange from Aisle 3.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[3],[3],0,,3.366
16,llm_only,recipe,I want to make smoothies this week.,banana; strawberry; blueberry; yogurt,,move,"[3, 1]","Sure! For smoothies, you'll want fresh fruits like bananas, strawberries, and blueberries. We also have yogurt and milk ",True,1,True,1,False,0,[],none,False,True,True,,,"[3, 1]","[3, 1]",0,,1.093
17,presearch,recipe,What ingredients do I need for grilled salmon with lemon?,salmon_fillet; lemon; olive_oil,salmon; lemon; olive oil; garlic; salt; pepper,move,"[8, 3]","For grilled salmon with lemon, we carry Salmon Fillet (Aisle 8) and Lemon (Aisle 3).",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[8, 3]","[8, 3]",0,,1.577
17,semantic,recipe,What ingredients do I need for grilled salmon with lemon?,salmon_fillet; lemon; olive_oil,salmon; lemon,move,"[8, 3]","To make grilled salmon with lemon, you'll need Salmon Fillet (1lb) from Aisle 8 and Lemon from Aisle 3. Grab both items ",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[8, 3]","[8, 3]",0,,3.99
17,llm_only,recipe,What ingredients do I need for grilled salmon with lemon?,salmon_fillet; lemon; olive_oil,,move,"[8, 3]","For grilled salmon with lemon, you'll need salmon fillets, lemon, salt, pepper, olive oil, and any desired herbs or spic",True,1,True,1,False,0,[],none,False,True,True,,,"[8, 3]","[8, 3]",0,,10.888
18,presearch,recipe,Help me prepare taco night.,ground_beef; tortilla_wraps; tomato; lettuce,ground beef; taco seasoning; tortillas; lettuce; tomatoes; cheese; avocado,move,"[8, 3, 1]","We have ground beef (Aisle 8), lettuce (Aisle 3), cheddar cheese (Aisle 1), cream cheese (Aisle 1), and avocado (Aisle 3",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[8, 3, 1]","[8, 3, 1]",0,,2.821
18,semantic,recipe,Help me prepare taco night.,ground_beef; tortilla_wraps; tomato; lettuce,ground beef; taco shells; tortillas; lettuce; tomato; cheese; sour cream; salsa,move,"[1, 3, 8]","For taco night, you'll need ground beef and toppings. Ground beef is in Aisle 8, and the toppings like sour cream, chedd",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[1, 3, 8]","[1, 3, 8]",0,,5.04
18,llm_only,recipe,Help me prepare taco night.,ground_beef; tortilla_wraps; tomato; lettuce,,none,[],"For taco night, you'll need tortillas, ground beef, and salsa. I can help you find these items. Would you like to start ",True,1,False,0,False,0,[],none,False,True,True,,,[],[],0,,1.55
19,presearch,recipe,I want to cook fried rice.,rice_white; eggs_large; onion_yellow,rice; eggs; soy sauce; vegetable oil; carrots; green onions; peas; salt; pepper,move,"[6, 7, 3]","I can help you make fried rice! We have White Rice in Aisle 6, Frozen Peas in Aisle 7, and Iodized Salt in Aisle 6. We a",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[6, 7, 3]","[6, 7, 3]",0,,2.144
19,semantic,recipe,I want to cook fried rice.,rice_white; eggs_large; onion_yellow,rice; egg; soy sauce; vegetable oil; onion; garlic; green onion; pepper,move,"[6, 3]",We have White Rice (2kg) in Aisle 6 and Yellow Onion in Aisle 3 for your fried rice.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[6, 3]","[6, 3]",0,,4.091
19,llm_only,recipe,I want to cook fried rice.,rice_white; eggs_large; onion_yellow,,move,"[6, 3]","For fried rice, you'll need rice, oil, vegetables, and seasonings. I can help you find these items. Rice is in the pantr",True,1,True,1,False,0,[],none,False,True,True,,,"[6, 3]","[6, 3]",0,,1.283
20,presearch,recipe,What do I need for homemade tomato soup?,tomato_sauce; onion_yellow; sour_cream,tomato; onion; garlic; celery; carrot; broth; flour; butter,move,"[1, 3, 6]","For homemade tomato soup, you'll need tomatoes, onions, carrots, flour, and butter. I have tomatoes (Aisle 3), onions (A",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[1, 3, 6]","[1, 3, 6]",0,,2.143
20,semantic,recipe,What do I need for homemade tomato soup?,tomato_sauce; onion_yellow; sour_cream,tomato; onion; carrot; garlic; vegetable broth; flour; butter; heavy cream,move,[3],"For homemade tomato soup, you'll need tomatoes (Aisle 3), carrots (Aisle 3), onions (Aisle 3), and optionally broccoli (",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[3],[3],0,,4.401
20,llm_only,recipe,What do I need for homemade tomato soup?,tomato_sauce; onion_yellow; sour_cream,,move,"[3, 6]","For homemade tomato soup, you'll need tomatoes, tomato sauce, and perhaps some herbs like basil. I can help you find the",True,1,True,1,False,0,[],none,False,True,True,,,"[3, 6]","[3, 6]",0,,1.079
21,presearch,recipe,I need ingredients for chicken nuggets and fries dinner.,frozen_nuggets; frozen_fries,chicken; flour; egg; potato; oil,move,"[7, 3]",I have Chicken Nuggets in Aisle 7 and Russet Potatoes in Aisle 3 for your chicken nuggets and fries dinner.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,"[7, 3]","[7, 3]",0,,1.587
21,semantic,recipe,I need ingredients for chicken nuggets and fries dinner.,frozen_nuggets; frozen_fries,chicken; flour; egg; potato; vegetable oil; salt; pepper,move,"[8, 3]",We have chicken breast for the nuggets (Aisle 8) and russet potatoes for the fries (Aisle 3). The flour listed is all-pu,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[8, 3]","[8, 3]",0,,4.249
21,llm_only,recipe,I need ingredients for chicken nuggets and fries dinner.,frozen_nuggets; frozen_fries,,move,[7],"For chicken nuggets and fries dinner, you'll need frozen chicken nuggets and frozen fries. I can show you where they are",True,1,True,1,False,0,[],none,False,True,True,,,[7],[7],0,,1.191
22,presearch,recipe,Can you suggest items for an avocado toast breakfast?,avocado; bread_wheat; lemon,avocado; bread,move,"[2, 3]","For avocado toast, you can try White Bread from Aisle 2 or Wheat Bread from Aisle 2, and Avocado from Aisle 3.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,"[2, 3]","[2, 3]",0,,1.538
22,semantic,recipe,Can you suggest items for an avocado toast breakfast?,avocado; bread_wheat; lemon,avocado; bread,move,"[2, 3]","For an avocado toast breakfast, I suggest our Avocado (Aisle 3) and Wheat Bread (Aisle 2).",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[2, 3]","[2, 3]",0,,2.26
22,llm_only,recipe,Can you suggest items for an avocado toast breakfast?,avocado; bread_wheat; lemon,,move,"[2, 3, 6]","For an avocado toast breakfast, I recommend grabbing some whole grain bread, ripe avocados, and a few pantry staples lik",True,1,True,1,False,0,[],none,False,True,True,,,"[2, 3, 6]","[2, 3, 6]",0,,1.319
23,presearch,recipe,What do I need for a yogurt parfait?,yogurt; granola; blueberry; strawberry,yogurt; granola; fruit,move,"[1, 5]","For a yogurt parfait, you'll need Plain Yogurt from Aisle 1 and Granola Bar from Aisle 5. We don't carry fresh fruit.",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[1, 5]","[1, 5]",0,,1.834
23,semantic,recipe,What do I need for a yogurt parfait?,yogurt; granola; blueberry; strawberry,yogurt; granola; berries,move,"[1, 5]","For a yogurt parfait, you'll need Plain Yogurt from Aisle 1 and a Granola Bar from Aisle 5.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[1, 5]","[1, 5]",0,,3.471
23,llm_only,recipe,What do I need for a yogurt parfait?,yogurt; granola; blueberry; strawberry,,move,"[1, 3, 5]","For a yogurt parfait, you'll need yogurt, granola, and fresh fruit. The yogurt and granola are in Aisle 1 (dairy) and Ai",True,1,True,1,False,0,[],none,False,True,True,,,"[1, 3, 5]","[1, 3, 5]",0,,1.199
24,presearch,recipe,I want to make a simple bean pasta meal.,pasta_spaghetti; black_beans_can; tomato_sauce,pasta; beans,move,[6],I can help you with that! We have Spaghetti Pasta in Aisle 6 and Black Beans in Aisle 6. You can find both items there.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[6],[6],0,,1.701
24,semantic,recipe,I want to make a simple bean pasta meal.,pasta_spaghetti; black_beans_can; tomato_sauce,beans; pasta,move,[6],"You can make your simple bean pasta meal with Spaghetti Pasta and Black Beans (Can), both found in Aisle 6.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[6],[6],0,,2.894
24,llm_only,recipe,I want to make a simple bean pasta meal.,pasta_spaghetti; black_beans_can; tomato_sauce,,move,[6],"For your simple bean pasta meal, I recommend getting canned black beans and spaghetti pasta. Black beans are in Aisle 6,",True,1,True,1,False,0,[],none,False,True,True,,,[6],[6],0,,1.704
25,presearch,recipe,Help me shop for a turkey sandwich lunch.,turkey_slices; bread_white; lettuce; tomato,turkey; bread; lettuce; tomato,move,"[2, 3, 8]","I found the items for a turkey sandwich: Turkey Slices in Aisle 8, White Bread in Aisle 2, Lettuce in Aisle 3, and Tomat",True,1,True,1,False,0,[],llm_extract,False,False,False,,,"[2, 3, 8]","[2, 3, 8]",0,,2.779
25,semantic,recipe,Help me shop for a turkey sandwich lunch.,turkey_slices; bread_white; lettuce; tomato,bread; turkey; lettuce; tomato,move,"[2, 3, 6, 8]","For your turkey sandwich, you'll need Turkey Slices (Aisle 8), Tomato (Aisle 3), Lettuce (Aisle 3), Wheat Bread (Aisle 2",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[2, 3, 6, 8]","[2, 3, 6, 8]",0,,3.816
25,llm_only,recipe,Help me shop for a turkey sandwich lunch.,turkey_slices; bread_white; lettuce; tomato,,move,[8],"Sure! For a turkey sandwich, you'll need bread, turkey slices, and some condiments like mustard or mayo. I can help you ",True,1,True,1,False,0,[],none,False,True,True,,,[8],[8],0,,1.167
26,presearch,associative,I want something healthy for lunch.,apple; spinach; yogurt,healthy; lunch,none,[],We don't carry anything that matches your request for healthy lunch options.,True,1,False,0,False,0,[],semantic_terms_fallback,True,True,False,,,[],[],0,,1.321
26,semantic,associative,I want something healthy for lunch.,apple; spinach; yogurt,healthy; lunch,none,[],I couldn't find any items matching 'something healthy for lunch' in our inventory. Could you please specify a particular,True,1,False,0,False,0,[],semantic_terms_fallback,True,False,False,5,0.15,[],[],0,,2.132
26,llm_only,associative,I want something healthy for lunch.,apple; spinach; yogurt,,move,"[1, 3]","For a healthy lunch, I recommend checking out the fruits, vegetables, and dairy sections. You can find fresh fruits like",True,1,True,1,False,0,[],none,False,True,True,,,"[1, 3]","[1, 3]",0,,1.703
27,presearch,associative,What are good high-protein options?,chicken_breast; tofu_firm; eggs_large,what; good; high; protein; options,none,[],"I'm sorry, but we don't carry any items that match your request for 'good high-protein options'.",True,1,False,0,False,0,[],semantic_terms_fallback,True,True,False,,,[],[],0,,2.651
27,semantic,associative,What are good high-protein options?,chicken_breast; tofu_firm; eggs_large,what; good; high; protein; options,none,[],I couldn't find any high-protein options in our inventory. Could you please let me know a specific product name you're l,True,1,False,0,False,0,[],semantic_terms_fallback,True,False,False,5,0.15,[],[],0,,10.219
27,llm_only,associative,What are good high-protein options?,chicken_breast; tofu_firm; eggs_large,,move,"[8, 1]","For high-protein options, you might want to check the meat and seafood aisle for items like chicken breast, salmon fille",True,1,True,1,False,0,[],none,False,True,True,,,"[8, 1]","[8, 1]",0,,1.078
28,presearch,associative,I need quick frozen dinner ideas.,frozen_pizza; frozen_nuggets; frozen_fries,frozen dinner,none,[],"I'm sorry, but we do not carry frozen dinners in our store.",True,1,False,0,False,0,[],llm_extract,False,True,False,,,[],[],0,,1.386
28,semantic,associative,I need quick frozen dinner ideas.,frozen_pizza; frozen_nuggets; frozen_fries,frozen dinners,move,[7],"You can make quick dinners with Frozen Pizza, Chicken Nuggets, or Frozen Peas. Everything is in Aisle 7!",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[7],[7],0,,2.613
28,llm_only,associative,I need quick frozen dinner ideas.,frozen_pizza; frozen_nuggets; frozen_fries,,move,[7],"Hi there! For quick frozen dinner ideas, you might want to check out the frozen section. We have items like Frozen Pizza",True,1,True,1,False,0,[],none,False,True,True,,,[7],[7],0,,1.015
29,presearch,associative,Give me party snack and drink recommendations.,chips; popcorn; soda,party snack; drink,move,[4],"We carry Sports Drink in Aisle 4, but we do not have party snack in stock.",True,1,True,1,False,0,[],llm_extract,False,True,False,,,[4],[4],0,,1.408
29,semantic,associative,Give me party snack and drink recommendations.,chips; popcorn; soda,party snack; drink,move,[4],"We have several drinks in Aisle 4: Sports Drink, Cola (2L), Sparkling Water, Bottled Water, and Orange Juice. For party ",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[4],[4],0,,3.393
29,llm_only,associative,Give me party snack and drink recommendations.,chips; popcorn; soda,,none,[],"For party snacks, I recommend Potato Chips, Chocolate Cookies, and Mixed Nuts. For drinks, you might like Orange Juice o",True,1,False,0,False,0,[],none,False,True,True,,,[],[],0,,1.002
30,presearch,associative,I want low-sugar drink choices.,water; sparkling_water; tea_green,low-sugar drink,none,[],"I'm sorry, but we don't carry low-sugar drinks in our store.",True,1,False,0,False,0,[],llm_extract,False,True,False,,,[],[],0,,1.417
30,semantic,associative,I want low-sugar drink choices.,water; sparkling_water; tea_green,drink; sugar; ice; low; choices,move,[4],"I found some low-sugar drink options for you: Sports Drink and Sparkling Water are both in Aisle 4, and Bottled Water is",True,1,True,1,False,0,[],semantic_terms_fallback,True,False,False,5,0.15,[4],[4],0,,2.52
30,llm_only,associative,I want low-sugar drink choices.,water; sparkling_water; tea_green,,move,[4],I can help you find low-sugar drink options. Let me check the beverages aisle for you.,True,1,True,1,False,0,[],none,False,True,True,,,[4],[4],0,,0.893
31,presearch,associative,What's good for a movie night at home?,popcorn; chips; soda,popcorn; chips; candy,move,[5],"For a movie night at home, we have Popcorn ($2.00) and Potato Chips ($2.50) available in Aisle 5.",True,1,True,1,False,0,[],llm_extract,False,True,False,,,[5],[5],0,,1.644
31,semantic,associative,What's good for a movie night at home?,popcorn; chips; soda,what; good; movie; night; home,none,[],"I'm sorry, but I couldn't find any products that match your request for a movie night at home. Could you please provide ",True,1,False,0,False,0,[],semantic_terms_fallback,True,False,False,5,0.15,[],[],0,,2.405
31,llm_only,associative,What's good for a movie night at home?,popcorn; chips; soda,,move,"[4, 5]","For a movie night at home, I'd recommend some snacks and drinks! You can find snacks like potato chips, chocolate cookie",True,1,True,1,False,0,[],none,False,True,True,,,"[4, 5]","[4, 5]",0,,1.226
