id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,latency_s
11,llm_only,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,,move,"[1, 6]","To bake chocolate chip cookies, you'll need all-purpose flour, granulated sugar, and unsalted butter. You can find those",False,0,True,1,False,0,[],2.089
12,presearch,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,spaghetti; tomato sauce; ground beef; garlic; onion; olive oil; parmesan cheese,move,"[6, 8, 3]","For spaghetti night, we have Spaghetti Pasta, Tomato Sauce, and Olive Oil in Aisle 6, Ground Beef in Aisle 8, and Yellow",False,0,True,1,False,0,[],12.05
12,semantic,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,spaghetti; tomato sauce; ground beef; garlic; onion; olive oil; parmesan cheese,move,"[6, 8, 3]","For spaghetti night, we have Spaghetti Pasta, Tomato Sauce, and Olive Oil in Aisle 6, Ground Beef (1lb) in Aisle 8, and ",False,0,True,1,False,0,[],9.939
12,llm_only,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,,move,"[6, 8]","For a great spaghetti night, I recommend picking up some Spaghetti Pasta and Tomato Sauce from Aisle 6, and perhaps some",False,0,True,1,False,0,[],2.114
13,presearch,recipe,Help me build ingredients for a chicken salad.,chicken_breast; lettuce; tomato; olive_oil,chicken; mayonnaise; celery; onion; lemon; salt; pepper,move,"[3, 6, 7, 8]","I can help you with Chicken Breast (Aisle 8), Chicken Nuggets (Aisle 7), Yellow Onion (Aisle 3), Lemon (Aisle 3), Bell P",False,0,True,1,False,0,[],7.316
13,semantic,recipe,Help me build ingredients for a chicken salad.,chicken_breast; lettuce; tomato; olive_oil,chicken; mayonnaise; celery; onion; lemon; salt; pepper,move,"[8, 3]","I can help with that! We have Chicken Breast (Aisle 8), Lemon (Aisle 3), and Yellow Onion (Aisle 3).",False,0,True,1,False,0,[],4.639
13,llm_only,recipe,Help me build ingredients for a chicken salad.,chicken_breast; lettuce; tomato; olive_oil,,move,"[3, 8]","I'd be happy to help! I recommend picking up some chicken breast from Aisle 8, and then heading to Aisle 3 for lettuce, ",False,0,True,1,False,0,[],2.364
14,presearch,recipe,I need supplies for breakfast pancakes.,flour_all_purpose; milk_1l; eggs_large; butter_unsalted,flour; eggs; milk; sugar; baking powder; butter,move,"[6, 1]","I can help you with All-Purpose Flour and Granulated Sugar in Aisle 6, and Large Eggs, Milk, and Unsalted Butter in Aisl",False,0,True,1,False,0,[],23.332
14,semantic,recipe,I need supplies for breakfast pancakes.,flour_all_purpose; milk_1l; eggs_large; butter_unsalted,flour; milk; eggs; sugar; baking powder; butter,move,"[1, 6]","I can help you with that! We have Unsalted Butter, Milk (2L), Milk (1L), and Large Eggs (12ct) in Aisle 1, and All-Purpo",False,0,True,1,False,0,[],13.838
14,llm_only,recipe,I need supplies for breakfast pancakes.,flour_all_purpose; milk_1l; eggs_large; butter_unsalted,,move,"[1, 2, 6]","I can definitely help you with that! For pancakes, you'll want to head to Aisle 6 for flour and sugar, Aisle 1 for eggs,",False,0,True,1,False,0,[],3.461
15,presearch,recipe,What should I buy for a veggie stir-fry?,broccoli; carrot; bell_pepper; onion_yellow,broccoli; carrots; bell pepper; snap peas; soy sauce; ginger; garlic; sesame oil; tofu,move,"[3, 8]","I recommend our Broccoli (Aisle 3), Bell Pepper (Aisle 3), and Firm Tofu (Aisle 8), though we don't carry carrots, snap ",False,0,True,1,False,0,[],4.635
15,semantic,recipe,What should I buy for a veggie stir-fry?,broccoli; carrot; bell_pepper; onion_yellow,broccoli; carrot; bell pepper; snap peas; soy sauce; ginger; garlic; sesame oil; tofu; rice,move,"[3, 8]","For a veggie stir-fry, I recommend Broccoli (Aisle 3), Carrot (Aisle 3), Baby Spinach (Aisle 3), and Firm Tofu (Aisle 8)",False,0,True,1,False,0,[],5.921
15,llm_only,recipe,What should I buy for a veggie stir-fry?,broccoli; carrot; bell_pepper; onion_yellow,,move,"[3, 6]","For a veggie stir-fry, I recommend picking up some broccoli, carrots, bell peppers, and baby spinach from Aisle 3, and s",False,0,True,1,False,0,[],2.115
16,presearch,recipe,I want to make smoothies this week.,banana; strawberry; blueberry; yogurt,yogurt; milk; banana; strawberry; blueberry; spinach; honey,move,"[1, 3, 7]","We have Plain Yogurt and Milk in Aisle 1, Bananas, Strawberries, Blueberries, and Baby Spinach in Aisle 3, and Frozen Sp",False,0,True,1,False,0,[],3.555
16,semantic,recipe,I want to make smoothies this week.,banana; strawberry; blueberry; yogurt,yogurt; fruit; milk; honey; spinach,move,"[1, 3]","For your smoothies, we have Plain Yogurt in Aisle 1, and Baby Spinach, Strawberries (1lb), Grapes (1lb), and Lemon in Ai",False,0,True,1,False,0,[],4.268
16,llm_only,recipe,I want to make smoothies this week.,banana; strawberry; blueberry; yogurt,,move,"[1, 3, 7]","Smoothies sound delicious! You can find milk and yogurt in Aisle 1, fresh fruits like bananas and strawberries in Aisle ",False,0,True,1,False,0,[],2.248
17,presearch,recipe,What ingredients do I need for grilled salmon with lemon?,salmon_fillet; lemon; olive_oil,salmon; lemon; olive oil; salt; black pepper; garlic,move,"[8, 3, 6]","We have Salmon Fillet in Aisle 8, Lemons in Aisle 3, Olive Oil and Iodized Salt in Aisle 6, but we do not carry black pe",False,0,True,1,False,0,[],3.453
17,semantic,recipe,What ingredients do I need for grilled salmon with lemon?,salmon_fillet; lemon; olive_oil,salmon; lemon; olive oil; salt; black pepper; garlic,move,"[8, 3, 6]","For grilled salmon with lemon, we have Salmon Fillet (Aisle 8), Lemon (Aisle 3), and Olive Oil (Aisle 6).",False,0,True,1,False,0,[],4.626
17,llm_only,recipe,What ingredients do I need for grilled salmon with lemon?,salmon_fillet; lemon; olive_oil,,move,"[3, 6, 8]","For grilled salmon with lemon, you'll want to pick up the Salmon Fillet from Aisle 8, some Lemons from Aisle 3, and perh",False,0,True,1,False,0,[],2.202
18,presearch,recipe,Help me prepare taco night.,ground_beef; tortilla_wraps; tomato; lettuce,ground beef; taco shells; tortillas; lettuce; cheese; tomatoes; onions; sour cream; salsa,move,"[8, 3, 1]","I can help with Ground Beef (Aisle 8), Lettuce (Aisle 3), Cheddar Cheese and Cream Cheese (Aisle 1), and Sour Cream (Ais",False,0,True,1,False,0,[],4.065
18,semantic,recipe,Help me prepare taco night.,ground_beef; tortilla_wraps; tomato; lettuce,tortillas; ground beef; taco seasoning; lettuce; cheese; tomatoes; sour cream; salsa,move,"[1, 3]","I can help you with that! We have Sour Cream and Cheddar Cheese in Aisle 1, and Lettuce and Tomato in Aisle 3.",False,0,True,1,False,0,[],4.879
18,llm_only,recipe,Help me prepare taco night.,ground_beef; tortilla_wraps; tomato; lettuce,,move,"[3, 6, 8]","Taco night sounds great! I recommend picking up some ground beef, black beans, tomato sauce, and lettuce to get you star",False,0,True,1,False,0,[],1.944
19,presearch,recipe,I want to cook fried rice.,rice_white; eggs_large; onion_yellow,rice; soy sauce; eggs; peas; carrots; onion; garlic; oil,move,"[6, 1, 7, 3]","For your fried rice, we have White Rice (Aisle 6), Large Eggs (Aisle 1), Frozen Peas (Aisle 7), Yellow Onion (Aisle 3), ",False,0,True,1,False,0,[],5.389
19,semantic,recipe,I want to cook fried rice.,rice_white; eggs_large; onion_yellow,rice; egg; soy sauce; oil; peas; carrots; onion; garlic,move,"[6, 3]","For your fried rice, we have White Rice (2kg) in Aisle 6, and Carrots and Yellow Onions in Aisle 3.",False,0,True,1,False,0,[],4.856
19,llm_only,recipe,I want to cook fried rice.,rice_white; eggs_large; onion_yellow,,move,"[1, 6, 7]","That sounds delicious! You'll need white rice and olive oil from Aisle 6, and maybe some frozen peas from Aisle 7 and eg",False,0,True,1,False,0,[],2.184
20,presearch,recipe,What do I need for homemade tomato soup?,tomato_sauce; onion_yellow; sour_cream,tomato; onion; garlic; olive oil; vegetable broth; salt; pepper; cream,move,"[3, 6]","For tomato soup, we have Tomato (Aisle 3), Tomato Sauce (Aisle 6), Yellow Onion (Aisle 3), Olive Oil (1L) (Aisle 6), Iod",False,0,True,1,False,0,[],4.564
20,semantic,recipe,What do I need for homemade tomato soup?,tomato_sauce; onion_yellow; sour_cream,tomato; onion; garlic; carrot; celery; vegetable broth; olive oil; salt; pepper; cream,move,"[3, 6]","For your soup, we have Tomato in Aisle 3 and Tomato Sauce in Aisle 6.",False,0,True,1,False,0,[],4.999
20,llm_only,recipe,What do I need for homemade tomato soup?,tomato_sauce; onion_yellow; sour_cream,,move,"[3, 6]","For a delicious homemade tomato soup, I'd recommend picking up some tomatoes, yellow onions, and tomato sauce. You can f",False,0,True,1,False,0,[],2.222
21,presearch,recipe,I need ingredients for chicken nuggets and fries dinner.,frozen_nuggets; frozen_fries,chicken breast; flour; eggs; breadcrumbs; oil; potatoes; salt,move,"[8, 6, 1]","I can help you with Chicken Breast (Aisle 8), All-Purpose Flour (Aisle 6), Large Eggs (Aisle 1), Olive Oil (Aisle 6), an",False,0,True,1,False,0,[],4.014
21,semantic,recipe,I need ingredients for chicken nuggets and fries dinner.,frozen_nuggets; frozen_fries,chicken breast; flour; eggs; breadcrumbs; potatoes; oil; salt,move,"[8, 3, 6]","I can help with that! We have Chicken Breast (1lb) in Aisle 8, Russet Potato (5lb) in Aisle 3, and All-Purpose Flour in ",False,0,True,1,False,0,[],14.312
21,llm_only,recipe,I need ingredients for chicken nuggets and fries dinner.,frozen_nuggets; frozen_fries,,move,[7],I can definitely help you with that! You'll find both the chicken nuggets and frozen fries over in Aisle 7.,False,0,True,1,False,0,[],1.902
22,presearch,recipe,Can you suggest items for an avocado toast breakfast?,avocado; bread_wheat; lemon,bread; avocado; lemon; salt; pepper; olive oil,move,"[3, 2, 6]","I recommend our Avocado (Aisle 3), White Bread (Aisle 2) or Wheat Bread (Aisle 2), and Olive Oil (1L) (Aisle 6) for your",False,0,True,1,False,0,[],4.029
22,semantic,recipe,Can you suggest items for an avocado toast breakfast?,avocado; bread_wheat; lemon,bread; avocado; lemon; salt; pepper; olive oil,move,"[3, 2]","I can suggest Avocado (Aisle 3), Wheat Bread (Aisle 2), and Lemon (Aisle 3) for your breakfast!",False,0,True,1,False,0,[],4.324
22,llm_only,recipe,Can you suggest items for an avocado toast breakfast?,avocado; bread_wheat; lemon,,move,"[1, 2, 3]","For a great avocado toast, I'd suggest picking up some avocado from Aisle 3, and either white or wheat bread from Aisle ",False,0,True,1,False,0,[],2.659
23,presearch,recipe,What do I need for a yogurt parfait?,yogurt; granola; blueberry; strawberry,yogurt; granola; berries; honey,move,"[1, 5, 3, 7]","For a yogurt parfait, we have Plain Yogurt in Aisle 1, Granola Bars in Aisle 5, and Strawberries, Blueberries, or Frozen",False,0,True,1,False,0,[],4.253
23,semantic,recipe,What do I need for a yogurt parfait?,yogurt; granola; blueberry; strawberry,yogurt; granola; berries; honey,move,"[1, 5]","For a yogurt parfait, we have Plain Yogurt in Aisle 1 and Granola Bars in Aisle 5.",False,0,True,1,False,0,[],5.776
23,llm_only,recipe,What do I need for a yogurt parfait?,yogurt; granola; blueberry; strawberry,,move,"[1, 3]","For a delicious yogurt parfait, I'd recommend picking up some plain yogurt from Aisle 1, and then heading to Aisle 3 for",False,0,True,1,False,0,[],16.449
24,presearch,recipe,I want to make a simple bean pasta meal.,pasta_spaghetti; black_beans_can; tomato_sauce,pasta; beans; olive oil; garlic; salt,move,[6],"I can help you with that! We have Spaghetti Pasta, Black Beans (Can), and Olive Oil in Aisle 6, but unfortunately, we do",False,0,True,1,False,0,[],3.282
24,semantic,recipe,I want to make a simple bean pasta meal.,pasta_spaghetti; black_beans_can; tomato_sauce,beans; pasta; olive oil; garlic; salt,move,[6],"I can help you with that! We have Spaghetti Pasta, Olive Oil (1L), and Black Beans (Can), all located in Aisle 6.",False,0,True,1,False,0,[],29.46
24,llm_only,recipe,I want to make a simple bean pasta meal.,pasta_spaghetti; black_beans_can; tomato_sauce,,move,[6],"That sounds like a great meal! You'll find the spaghetti pasta, black beans, and tomato sauce all right here in Aisle 6.",False,0,True,1,False,0,[],2.291
25,presearch,recipe,Help me shop for a turkey sandwich lunch.,turkey_slices; bread_white; lettuce; tomato,turkey; bread; mayonnaise; lettuce; tomato,move,"[2, 3, 8]","I can help you with Turkey Slices (Aisle 8), White or Wheat Bread (Aisle 2), Lettuce and Tomato (Aisle 3), but we do not",False,0,True,1,False,0,[],13.637
25,semantic,recipe,Help me shop for a turkey sandwich lunch.,turkey_slices; bread_white; lettuce; tomato,turkey; bread; mayonnaise; lettuce; tomato,move,"[8, 2, 3]","I can help you with that! We have Turkey Slices (Aisle 8), Wheat Bread (Aisle 2), Tomato (Aisle 3), and Lettuce (Aisle 3",False,0,True,1,False,0,[],6.698
25,llm_only,recipe,Help me shop for a turkey sandwich lunch.,turkey_slices; bread_white; lettuce; tomato,,move,"[2, 8]",I can certainly help you with that! You'll find turkey slices in Aisle 8 and a variety of breads in Aisle 2 to make a gr,False,0,True,1,False,0,[],2.324
26,presearch,associative,I want something healthy for lunch.,apple; spinach; yogurt,,none,[],"I'd be happy to help! Are you looking for something like a fresh salad, some fruit, or maybe some whole-grain options?",False,0,False,0,False,0,[],2.982
26,semantic,associative,I want something healthy for lunch.,apple; spinach; yogurt,healthy; lunch,none,[],"I'm sorry, I couldn't find any specific healthy lunch items in our inventory. Could you please let me know a more specif",False,0,False,0,False,0,[],3.256
26,llm_only,associative,I want something healthy for lunch.,apple; spinach; yogurt,,move,"[3, 8]","I'd recommend some baby spinach and avocado for a fresh salad, or maybe some firm tofu and broccoli! You can find those ",False,0,True,1,False,0,[],1.818
27,presearch,associative,What are good high-protein options?,chicken_breast; tofu_firm; eggs_large,chicken; eggs; tofu; greek yogurt; fish; beans; lentils,move,"[7, 8, 1, 6]","We have Chicken Nuggets (Aisle 7), Chicken Breast (Aisle 8), Firm Tofu (Aisle 8), Large Eggs (Aisle 1), and Black Beans ",False,0,True,1,False,0,[],3.648
27,semantic,associative,What are good high-protein options?,chicken_breast; tofu_firm; eggs_large,chicken; eggs; tofu; greek yogurt; fish; beans; lentils,move,"[8, 1, 6]","I recommend our Chicken Breast, Salmon Fillet, and Firm Tofu in Aisle 8, Large Eggs in Aisle 1, and Black Beans in Aisle",False,0,True,1,False,0,[],4.547
27,llm_only,associative,What are good high-protein options?,chicken_breast; tofu_firm; eggs_large,,move,"[1, 8]","We have several great high-protein options! I'd recommend our chicken breast, salmon, and ground beef in Aisle 8, or som",False,0,True,1,False,0,[],2.045
28,presearch,associative,I need quick frozen dinner ideas.,frozen_pizza; frozen_nuggets; frozen_fries,,none,[],I can certainly help you with that! Our frozen dinner section has plenty of quick options; would you like me to show you,False,0,False,0,False,0,[],2.261
28,semantic,associative,I need quick frozen dinner ideas.,frozen_pizza; frozen_nuggets; frozen_fries,frozen; quick; dinner; ideas,move,[7],"I recommend our Frozen Pizza, Chicken Nuggets, and Frozen Fries, all of which you can find in Aisle 7!",False,0,True,1,False,0,[],3.245
28,llm_only,associative,I need quick frozen dinner ideas.,frozen_pizza; frozen_nuggets; frozen_fries,,move,[7],"I'd be happy to help! For a quick dinner, we have frozen pizzas, chicken nuggets, and frozen fries over in Aisle 7.",False,0,True,1,False,0,[],7.011
29,presearch,associative,Give me party snack and drink recommendations.,chips; popcorn; soda,chips; dip; nuts; popcorn; soda; juice; water,move,"[4, 5]","I recommend Potato Chips, Mixed Nuts, or Popcorn from Aisle 5, and Cola, Orange Juice, Apple Juice, Bottled Water, or Sp",False,0,True,1,False,0,[],24.031
29,semantic,associative,Give me party snack and drink recommendations.,chips; popcorn; soda,chips; dip; nuts; popcorn; soda; juice; water,move,"[5, 4]","For snacks, I recommend Potato Chips (Aisle 5) and Popcorn (Aisle 5). For drinks, we have Orange Juice, Cola (2L), and A",False,0,True,1,False,0,[],5.19
29,llm_only,associative,Give me party snack and drink recommendations.,chips; popcorn; soda,,move,"[4, 5]","For snacks, I'd recommend our potato chips, mixed nuts, or pretzels in Aisle 5. For drinks, you can find cola, sparkling",False,0,True,1,False,0,[],2.536
30,presearch,associative,I want low-sugar drink choices.,water; sparkling_water; tea_green,drink,move,[4],I have Sports Drink available in Aisle 4.,False,0,True,1,False,0,[],2.265
30,semantic,associative,I want low-sugar drink choices.,water; sparkling_water; tea_green,drink,move,[4],"I recommend our Sparkling Water and Bottled Water, both located in Aisle 4.",False,0,True,1,False,0,[],2.798
30,llm_only,associative,I want low-sugar drink choices.,water; sparkling_water; tea_green,,move,[4],"For low-sugar options, I'd recommend our bottled water, sparkling water, or green tea. You can find all of these in Aisl",False,0,True,1,False,0,[],2.035
31,presearch,associative,What's good for a movie night at home?,popcorn; chips; soda,popcorn; soda; candy; chips; chocolate,move,"[5, 4]","For a movie night, I recommend Popcorn (Aisle 5), Potato Chips (Aisle 5), Chocolate Cookies (Aisle 5), and Cola (2L) (Ai",False,0,True,1,False,0,[],3.487
31,semantic,associative,What's good for a movie night at home?,popcorn; chips; soda,popcorn; candy; soda; chips; chocolate,move,"[5, 4]","For a movie night, I recommend Potato Chips and Popcorn in Aisle 5, and Cola (2L) in Aisle 4!",False,0,True,1,False,0,[],4.918
31,llm_only,associative,What's good for a movie night at home?,popcorn; chips; soda,,move,"[5, 7]","For a movie night, I'd recommend some Potato Chips and Popcorn from Aisle 5, and maybe a Frozen Pizza from Aisle 7! Woul",False,0,True,1,False,0,[],2.444
32,presearch,associative,Recommend easy breakfast basics.,milk_1l; bread_white; eggs_large,eggs; bread; milk; butter; cereal; yogurt; fruit,move,"[1, 2]","I recommend Large Eggs, Milk, Unsalted Butter, and Plain Yogurt from Aisle 1, and White or Wheat Bread from Aisle 2. Ple",False,0,True,1,False,0,[],3.776
32,semantic,associative,Recommend easy breakfast basics.,milk_1l; bread_white; eggs_large,eggs; milk; bread; butter; cereal; fruit; yogurt,move,"[1, 3]","I recommend our plain yogurt (Aisle 1), milk (Aisle 1), and strawberries (Aisle 3) for easy breakfast basics!",False,0,True,1,False,0,[],4.826
32,llm_only,associative,Recommend easy breakfast basics.,milk_1l; bread_white; eggs_large,,move,"[1, 2]","I'd recommend starting with some Large Eggs and Milk from Aisle 1, and maybe some Wheat Bread or Bagels from Aisle 2 for",False,0,True,1,False,0,[],2.15
33,presearch,associative,I'm trying to eat more vegetables this week.,broccoli; carrot; spinach,vegetables,none,[],"I'm sorry, but we do not carry vegetables.",False,0,False,0,False,0,[],2.491
33,semantic,associative,I'm trying to eat more vegetables this week.,broccoli; carrot; spinach,vegetables,move,[3],"That's a great goal! We have Tomato, Baby Spinach, Yellow Onion, Russet Potato (5lb), and Broccoli, all located in Aisle",False,0,True,1,False,0,[],4.304
33,llm_only,associative,I'm trying to eat more vegetables this week.,broccoli; carrot; spinach,,move,[3],"That's a great goal! We have a wonderful variety of fresh vegetables like broccoli, spinach, and bell peppers over in Ai",False,0,True,1,False,0,[],2.081
34,presearch,associative,Suggest lunchbox items for kids.,apple; granola; juice_apple,sandwich bread; ham; cheese; apple; carrot sticks; yogurt; juice box; grapes,move,"[1, 3]","I suggest Apple (Aisle 3), Grapes (1lb) (Aisle 3), Cheddar Cheese (Aisle 1), or Plain Yogurt (Aisle 1). Unfortunately, w",False,0,True,1,False,0,[],4.085
34,semantic,associative,Suggest lunchbox items for kids.,apple; granola; juice_apple,sandwich bread; ham; cheese; apple; carrot sticks; yogurt; juice box; grapes,move,"[3, 1, 4]","I recommend Apple (Aisle 3), Cheddar Cheese (Aisle 1), Plain Yogurt (Aisle 1), Cream Cheese (Aisle 1), and Apple Juice (",False,0,True,1,False,0,[],5.321
34,llm_only,associative,Suggest lunchbox items for kids.,apple; granola; juice_apple,,move,"[2, 3, 5]","For kids' lunchboxes, I'd suggest some apple slices or bananas from Aisle 3, wheat bread from Aisle 2, and maybe some gr",False,0,True,1,False,0,[],4.11
35,presearch,associative,What should I buy for a road trip snack bag?,trail_mix; pretzels; water,chips; nuts; dried fruit; crackers; pretzels; candy; granola bars,move,[5],"I recommend Potato Chips, Mixed Nuts, Whole Grain Crackers, or Pretzels, all in Aisle 5. Unfortunately, we do not carry ",False,0,True,1,False,0,[],10.358
35,semantic,associative,What should I buy for a road trip snack bag?,trail_mix; pretzels; water,chips; nuts; pretzels; dried fruit; granola bars; candy; crackers,move,[5],"For your road trip, I recommend Pretzels, Potato Chips, Whole Grain Crackers, Mixed Nuts, and Trail Mix, all located in ",False,0,True,1,False,0,[],4.57
35,llm_only,associative,What should I buy for a road trip snack bag?,trail_mix; pretzels; water,,move,[5],"For a road trip, I'd recommend some potato chips, mixed nuts, granola bars, and maybe some trail mix! You can find all o",False,0,True,1,False,0,[],1.61
36,presearch,associative,I need comfort food staples.,pasta_spaghetti; tomato_sauce; cheese,pasta; cheese; bread; potatoes; butter; milk,move,"[6, 1, 2]","I can help you with that! We have Spaghetti Pasta in Aisle 6, Cheddar and Cream Cheese, Unsalted Butter, and Milk in Ais",False,0,True,1,False,0,[],9.418
36,semantic,associative,I need comfort food staples.,pasta_spaghetti; tomato_sauce; cheese,pasta; bread; cheese; potatoes; butter; milk,move,"[1, 6]","I can recommend our Cheddar Cheese, Cream Cheese, Unsalted Butter, and Milk in Aisle 1, as well as Spaghetti Pasta in Ai",False,0,True,1,False,0,[],4.122
36,llm_only,associative,I need comfort food staples.,pasta_spaghetti; tomato_sauce; cheese,,move,"[6, 7]","I can definitely help with that! For some comfort food, I'd recommend our Frozen Pizza in Aisle 7, Macaroni-style Spaghe",False,0,True,1,False,0,[],2.168
